time,step,valid,ref_x,ref_y,act_x,act_y,err_x,err_y,err_dist,u_x,u_y
0.198,0,1,-9.0,0.0,-0.074,-0.016,-8.926,0.016,8.926,-45,40
0.4027,1,1,-8.97,0.252,-0.109,0.017,-8.861,0.235,8.864,-45,17
0.6039,2,1,-8.94,0.503,-0.297,0.155,-8.643,0.348,8.65,-45,10
0.8043,3,1,-8.91,0.753,-0.544,0.249,-8.366,0.505,8.381,-45,28
1.0176,4,1,-8.88,1.002,-0.794,0.291,-8.085,0.711,8.117,-45,42
1.2087,5,1,-8.85,1.25,-1.036,0.422,-7.814,0.827,7.858,-45,37
1.4163,6,1,-8.82,1.495,-1.318,0.628,-7.501,0.866,7.551,-45,33
1.6253,7,1,-8.79,1.737,-1.565,0.787,-7.225,0.95,7.287,-45,40
1.8167,8,1,-8.76,1.976,-1.824,0.958,-6.936,1.018,7.01,-45,43
2.0248,9,1,-8.73,2.212,-2.099,1.157,-6.631,1.055,6.714,-45,41
2.2436,10,1,-8.699,2.444,-2.463,1.45,-6.236,0.994,6.315,-45,35
2.4458,11,1,-8.669,2.672,-2.693,1.652,-5.976,1.02,6.063,-45,41
2.6458,12,1,-8.639,2.895,-2.959,1.847,-5.68,1.048,5.776,-45,44
2.8478,13,1,-8.609,3.113,-3.21,2.037,-5.399,1.076,5.505,-45,43
3.0506,14,1,-8.579,3.325,-3.47,2.258,-5.109,1.068,5.219,-45,40
3.2484,15,1,-8.549,3.532,-3.711,2.467,-4.838,1.064,4.954,-45,41
3.4473,16,1,-8.519,3.732,-3.959,2.674,-4.561,1.058,4.682,-45,40
3.6484,17,1,-8.489,3.926,-4.155,2.85,-4.334,1.076,4.466,-45,43
3.8501,18,1,-8.459,4.113,-4.297,2.978,-4.162,1.135,4.314,-45,45
4.1367,19,1,-8.429,4.292,-4.446,3.158,-3.983,1.134,4.142,-45,42
4.2551,20,1,-8.399,4.464,-4.597,3.349,-3.802,1.115,3.963,-45,39
4.4636,21,1,-8.369,4.629,-4.822,3.569,-3.547,1.059,3.702,-45,37
4.6706,22,1,-8.339,4.785,-5.032,3.758,-3.307,1.027,3.463,-45,38
4.8626,23,1,-8.309,4.932,-5.281,3.964,-3.028,0.969,3.179,-45,35
5.0708,24,1,-8.279,5.071,-5.51,4.169,-2.769,0.902,2.912,-45,31
5.2759,25,1,-8.249,5.201,-5.738,4.363,-2.511,0.838,2.647,-45,29
5.484,26,1,-8.219,5.322,-5.967,4.551,-2.251,0.771,2.38,-45,26
5.6881,27,1,-8.189,5.434,-6.193,4.727,-1.996,0.707,2.117,-45,23
5.892,28,1,-8.159,5.536,-6.416,4.893,-1.742,0.643,1.857,-45,21
6.0844,29,1,-8.129,5.628,-6.657,5.031,-1.472,0.597,1.588,-38,20
6.2895,30,1,-8.098,5.71,-6.887,5.177,-1.212,0.533,1.324,-29,16
6.4996,31,1,-8.068,5.782,-7.095,5.328,-0.973,0.454,1.074,-22,12
6.7134,32,1,-8.038,5.845,-7.334,5.476,-0.705,0.369,0.795,-11,9
6.8982,33,1,-8.008,5.896,-7.42,5.513,-0.588,0.384,0.702,-18,16
7.1137,34,1,-7.978,5.938,-7.515,5.657,-0.463,0.281,0.541,-12,4
7.3151,35,1,-7.948,5.969,-7.635,5.745,-0.313,0.223,0.385,-2,2
7.5187,36,1,-7.918,5.989,-7.697,5.755,-0.221,0.234,0.322,-5,10
7.714,37,1,-7.888,5.999,-7.711,5.8,-0.177,0.199,0.266,-6,4
7.9186,38,1,-7.858,5.998,-7.77,5.879,-0.088,0.119,0.148,2,-4
8.1174,39,1,-7.828,5.987,-7.787,5.869,-0.041,0.118,0.125,0,2
8.3182,40,1,-7.798,5.965,-7.785,5.868,-0.013,0.097,0.098,-1,1
8.5193,41,1,-7.768,5.933,-7.788,5.88,0.02,0.053,0.056,2,-5
8.7261,42,1,-7.738,5.89,-7.768,5.851,0.031,0.04,0.05,1,-4
8.9341,43,1,-7.708,5.837,-7.766,5.813,0.058,0.025,0.063,2,-4
9.1399,44,1,-7.678,5.774,-7.752,5.768,0.074,0.006,0.075,3,-7
9.3447,45,1,-7.648,5.7,-7.732,5.733,0.084,-0.032,0.09,3,-10
9.5487,46,1,-7.618,5.617,-7.706,5.686,0.088,-0.069,0.112,3,-12
9.7393,47,1,-7.588,5.524,-7.694,5.578,0.107,-0.055,0.12,4,-9
9.9448,48,1,-7.558,5.42,-7.644,5.465,0.087,-0.045,0.098,1,-10
10.1516,49,1,-7.528,5.308,-7.634,5.404,0.107,-0.096,0.144,5,-18
10.3568,50,1,-7.497,5.186,-7.617,5.293,0.119,-0.108,0.161,5,-16
10.5631,51,1,-7.467,5.054,-7.571,5.142,0.103,-0.088,0.136,2,-13
10.7781,52,1,-7.437,4.914,-7.523,4.987,0.086,-0.073,0.112,1,-14
10.9604,53,1,-7.407,4.766,-7.526,4.915,0.119,-0.149,0.191,8,-25
11.1781,54,1,-7.377,4.609,-7.468,4.732,0.09,-0.123,0.153,2,-17
11.383,55,1,-7.347,4.443,-7.417,4.572,0.07,-0.129,0.146,1,-19
11.5841,56,1,-7.317,4.27,-7.41,4.451,0.093,-0.181,0.203,7,-27
11.7851,57,1,-7.287,4.09,-7.376,4.324,0.089,-0.234,0.251,5,-29
11.9823,58,1,-7.257,3.902,-7.325,4.136,0.068,-0.233,0.243,2,-24
12.1825,59,1,-7.227,3.707,-7.293,3.959,0.066,-0.252,0.26,4,-27
12.3844,60,1,-7.197,3.506,-7.261,3.789,0.064,-0.283,0.29,5,-31
12.586,61,1,-7.167,3.299,-7.223,3.604,0.056,-0.305,0.31,3,-31
12.785,62,1,-7.137,3.086,-7.19,3.422,0.054,-0.336,0.34,4,-33
12.9897,63,1,-7.107,2.867,-7.156,3.23,0.049,-0.363,0.366,4,-34
13.1967,64,1,-7.077,2.644,-7.113,3.043,0.036,-0.4,0.401,3,-36
13.4026,65,1,-7.047,2.415,-7.092,2.851,0.045,-0.435,0.438,5,-38
13.6107,66,1,-7.017,2.183,-7.051,2.625,0.034,-0.442,0.444,4,-36
13.8021,67,1,-6.987,1.947,-6.993,2.434,0.006,-0.487,0.487,2,-40
14.0067,68,1,-6.957,1.707,-6.967,2.212,0.011,-0.505,0.505,5,-40
14.2106,69,1,-6.927,1.464,-6.933,1.998,0.007,-0.534,0.534,4,-42
14.4153,70,1,-6.896,1.219,-6.891,1.762,-0.006,-0.543,0.543,3,-41
14.6202,71,1,-6.866,0.971,-6.862,1.541,-0.005,-0.57,0.57,4,-43
14.8298,72,1,-6.836,0.722,-6.831,1.322,-0.005,-0.6,0.6,5,-45
15.0457,73,1,-6.806,0.472,-6.787,1.006,-0.019,-0.535,0.535,2,-37
15.2255,74,1,-6.776,0.22,-6.761,0.851,-0.015,-0.63,0.631,5,-45
15.4447,75,1,-6.746,-0.031,-6.714,0.552,-0.032,-0.584,0.585,4,-41
15.6472,76,1,-6.716,-0.283,-6.704,0.315,-0.012,-0.598,0.598,5,-42
15.8471,77,1,-6.686,-0.534,-6.663,0.098,-0.023,-0.632,0.633,5,-45
16.0489,78,1,-6.656,-0.784,-6.617,-0.145,-0.039,-0.639,0.64,3,-45
16.2485,79,1,-6.626,-1.033,-6.58,-0.389,-0.046,-0.645,0.646,4,-44
16.4516,80,1,-6.596,-1.28,-6.556,-0.626,-0.04,-0.655,0.656,5,-45
16.6529,81,1,-6.566,-1.525,-6.523,-0.867,-0.043,-0.658,0.66,4,-45
16.8509,82,1,-6.536,-1.767,-6.471,-1.101,-0.065,-0.666,0.669,2,-45
17.0543,83,1,-6.506,-2.006,-6.444,-1.363,-0.062,-0.644,0.647,4,-42
17.2578,84,1,-6.476,-2.241,-6.422,-1.601,-0.054,-0.64,0.642,5,-43
17.4658,85,1,-6.446,-2.473,-6.383,-1.84,-0.063,-0.633,0.636,3,-42
17.6698,86,1,-6.416,-2.7,-6.351,-2.091,-0.064,-0.609,0.612,3,-39
17.8778,87,1,-6.386,-2.922,-6.328,-2.31,-0.057,-0.613,0.615,4,-41
18.0858,88,1,-6.356,-3.14,-6.287,-2.539,-0.069,-0.6,0.604,2,-40
18.2957,89,1,-6.326,-3.351,-6.274,-2.748,-0.052,-0.604,0.606,4,-40
18.5116,90,1,-6.295,-3.557,-6.222,-3.027,-0.074,-0.53,0.535,0,-32
18.6918,91,1,-6.265,-3.757,-6.241,-3.173,-0.025,-0.583,0.584,7,-42
18.9102,92,1,-6.235,-3.95,-6.235,-3.398,0.0,-0.552,0.552,7,-36
19.1154,93,1,-6.205,-4.136,-6.164,-3.634,-0.041,-0.502,0.504,-2,-29
19.3165,94,1,-6.175,-4.314,-6.153,-3.839,-0.022,-0.475,0.476,4,-31
19.5204,95,1,-6.145,-4.485,-6.143,-3.997,-0.002,-0.488,0.488,6,-35
19.7147,96,1,-6.115,-4.649,-6.082,-4.184,-0.033,-0.464,0.466,0,-30
19.9154,97,1,-6.085,-4.804,-6.057,-4.401,-0.028,-0.403,0.403,1,-23
20.1181,98,1,-6.055,-4.95,-6.045,-4.583,-0.011,-0.368,0.368,4,-25
20.3192,99,1,-6.025,-5.088,-6.02,-4.743,-0.005,-0.345,0.345,3,-25
20.5345,100,1,-5.995,-5.217,-5.981,-4.906,-0.014,-0.311,0.311,1,-21
20.7424,101,1,-5.965,-5.337,-5.958,-5.067,-0.007,-0.269,0.269,2,-18
20.9506,102,1,-5.935,-5.447,-5.946,-5.216,0.011,-0.231,0.232,3,-17
21.1562,103,1,-5.905,-5.548,-5.92,-5.356,0.015,-0.192,0.192,2,-15
21.3487,104,1,-5.875,-5.639,-5.889,-5.449,0.014,-0.19,0.191,1,-16
21.5567,105,1,-5.845,-5.72,-5.869,-5.597,0.024,-0.123,0.125,2,-8
21.7775,106,1,-5.815,-5.791,-5.853,-5.743,0.038,-0.048,0.061,2,-3
21.9788,107,1,-5.785,-5.852,-5.84,-5.773,0.055,-0.078,0.096,4,-13
22.1639,108,1,-5.755,-5.902,-5.815,-5.804,0.06,-0.098,0.115,3,-12
22.3784,109,1,-5.725,-5.942,-5.77,-5.944,0.046,0.002,0.046,-1,4
22.5824,110,1,-5.694,-5.972,-5.773,-5.968,0.079,-0.003,0.079,5,-4
22.7868,111,1,-5.664,-5.991,-5.746,-5.974,0.082,-0.017,0.083,4,-7
22.9816,112,1,-5.634,-5.999,-5.691,-6.013,0.057,0.014,0.059,-1,1
23.1808,113,1,-5.604,-5.998,-5.689,-6.033,0.085,0.036,0.092,4,2
23.3835,114,1,-5.574,-5.985,-5.652,-6.009,0.078,0.024,0.082,3,-1
23.5849,115,1,-5.544,-5.962,-5.644,-5.994,0.1,0.033,0.105,4,2
23.7859,116,1,-5.514,-5.928,-5.605,-5.975,0.091,0.047,0.103,2,4
23.9884,117,1,-5.484,-5.884,-5.586,-5.94,0.102,0.056,0.116,3,5
24.1943,118,1,-5.454,-5.83,-5.557,-5.895,0.103,0.065,0.122,3,6
24.4013,119,1,-5.424,-5.765,-5.529,-5.844,0.105,0.079,0.131,3,7
24.6074,120,1,-5.394,-5.691,-5.5,-5.778,0.106,0.087,0.137,3,8
24.8135,121,1,-5.364,-5.606,-5.483,-5.73,0.12,0.124,0.172,4,12
25.0058,122,1,-5.334,-5.511,-5.435,-5.629,0.101,0.118,0.156,1,10
25.209,123,1,-5.304,-5.407,-5.424,-5.535,0.12,0.128,0.175,5,12
25.4149,124,1,-5.274,-5.293,-5.389,-5.459,0.115,0.166,0.202,3,17
25.6227,125,1,-5.244,-5.17,-5.365,-5.312,0.121,0.143,0.187,4,12
25.829,126,1,-5.214,-5.037,-5.326,-5.187,0.112,0.149,0.187,3,15
26.0204,127,1,-5.184,-4.896,-5.307,-5.126,0.123,0.229,0.26,3,25
26.2291,128,1,-5.154,-4.747,-5.28,-4.998,0.126,0.251,0.281,3,22
26.4438,129,1,-5.124,-4.588,-5.242,-4.748,0.118,0.159,0.198,4,12
26.6478,130,1,-5.093,-4.422,-5.199,-4.618,0.105,0.195,0.222,2,22
26.8476,131,1,-5.063,-4.248,-5.194,-4.487,0.131,0.239,0.273,5,28
27.0483,132,1,-5.033,-4.067,-5.158,-4.308,0.124,0.241,0.271,3,23
27.2475,133,1,-5.003,-3.878,-5.117,-4.14,0.114,0.262,0.285,2,25
27.4509,134,1,-4.973,-3.683,-5.1,-3.989,0.127,0.306,0.332,4,30
27.6462,135,1,-4.943,-3.481,-5.075,-3.795,0.131,0.315,0.341,4,28
27.8506,136,1,-4.913,-3.273,-5.027,-3.62,0.114,0.348,0.366,1,31
28.0519,137,1,-4.883,-3.059,-5.027,-3.45,0.144,0.391,0.417,5,35
28.2626,138,1,-4.853,-2.84,-4.994,-3.228,0.141,0.389,0.414,3,32
28.4681,139,1,-4.823,-2.615,-4.966,-3.033,0.143,0.418,0.442,3,36
28.6728,140,1,-4.793,-2.387,-4.951,-2.844,0.158,0.457,0.484,4,39
28.878,141,1,-4.763,-2.154,-4.909,-2.613,0.146,0.46,0.482,2,37
29.086,142,1,-4.733,-1.917,-4.901,-2.386,0.168,0.469,0.498,5,38
29.2965,143,1,-4.703,-1.677,-4.885,-2.152,0.182,0.475,0.509,5,40
29.5108,144,1,-4.673,-1.434,-4.807,-1.866,0.134,0.432,0.453,-1,36
